,label,name,party,wahlkreis,x,y,digital,familie,demokratie,natur,arbeit
129,monika-grutters,Prof. Monika Grütters,CDU,Berlin-Marzahn-Hellersdorf,66.98849,-372.9846,0.0,0.0685414060368352,0.029053862278028687,0.008072831584007322,0.021029336358157662
130,eric-vohn,Eric Vohn,FDP,Brandenburg an der Havel - Potsdam-Mittelmark I - Havelland III - Teltow-Fläming I,-146.98276,163.28741,0.0,0.0,0.0,0.0,0.0
131,claudia-theis,Claudia Theis,FREIE WÄHLER,Oldenburg - Ammerland,319.51666,-794.98566,0.01787535862653926,0.006269707647079355,0.10133868490074274,0.0,0.024647838246422492
132,frank-oettler,Frank Oettler,MLPD,Harz,100.40947,334.3979,0.0,0.0,0.008460588242040703,0.016674207445446083,0.0
133,erich-utz,Erich Utz,DIE LINKE,Altötting,22.14373,-316.85242,0.01612187698877212,0.07114334293100083,0.012922557864468331,0.0382989405612915,0.05157269711632608
134,bettina-sommerlatte-hennig,Bettina Sommerlatte-Hennig,FREIE WÄHLER,Brandenburg an der Havel - Potsdam-Mittelmark I - Havelland III - Teltow-Fläming I,340.78723,-661.77496,0.004782271209630629,0.061319283429584565,0.03772557457716663,0.0,0.03976877550253747
135,dr-stefan-ruppert,Dr. Stefan Ruppert,FDP,Hochtaunus,-740.10803,-631.7784,0.047539505455680316,0.08836755663907025,0.05046388215053648,0.013230627920416136,0.00786464679429584
136,ruth-tietz,Ruth Tietz,DIE LINKE,Unna I,1036.0873,58.748646,0.002462217012533012,0.1307302229655178,0.004192681552851783,0.042385997360329865,0.12004236386447102
137,elisabeth-walther,Elisabeth Walther,DIE VIOLETTEN,Mülheim - Essen I,-854.6014,-29.185871,0.029649114789347127,0.013542700490266015,0.01977640862657086,0.017620536189619423,0.010537898559393155
138,sebastian-merkens,Sebastian Merkens,DIE LINKE,Mönchengladbach,-24.425222,581.25635,0.0,0.026414431268582728,0.05450477559552063,0.020065460709869073,0.021607222011270973
139,hermann-graf-von-der-schulenburg,Hermann Graf von der Schulenburg,FDP,Höxter - Lippe II,-122.326355,-744.73566,0.06435045053505697,0.08367281726997282,0.054172214390450335,0.02309861787870657,0.03134868755469314
140,hendrik-theemann,Hendrik Theemann,FDP,Friesland - Wilhelmshaven - Wittmund,-474.0749,-612.90955,0.05939898030812923,0.02311060670597932,0.0,0.01879706513642958,0.009168449216698394
141,elvira-drobinski-weis,Elvira Drobinski-Weiß,SPD,Offenburg,-685.4245,-133.83301,0.0070294921218912254,0.03348257820861733,0.07834364729313566,0.03975490583435972,0.016914641042344473
142,falk-neubert,Falk Neubert,DIE LINKE,Mittelsachsen,1247.7651,536.1245,0.0033783449516822826,0.017119712935348416,0.024109636022521273,0.0,0.2990796578303004
143,jorg-schnurre,Jörg Schnurre,FDP,Dessau - Wittenberg,-461.33618,-256.01956,0.0,0.0,0.060785527495162264,0.0,0.0
144,nick-papak-amoozegar,Nick Papak Amoozegar,DIE LINKE,Fulda,696.7699,274.6054,0.015117793373629859,0.09246358224737723,0.05688407486241565,0.007246078580441202,0.16138135611046034
145,brigitte-freihold,Brigitte Freihold,DIE LINKE,Pirmasens,952.73926,407.07922,0.005623528074998345,0.04276292481239858,0.055411434234874525,0.02724317363977639,0.2159347522421412
146,adrian-assenmacher,Adrian Assenmacher,FDP,Trier,-795.5076,-749.30396,0.09193524610708713,0.07044282922243947,0.07812756800729763,0.025310505393804517,0.02697091845477378
147,jorg-schindler,Jörg Schindler,DIE LINKE,Dessau - Wittenberg,1126.6573,602.1417,0.02435554257863223,0.044698507846507564,0.05089866045560479,0.009994149603970588,0.3222977295124024
148,kristian-kater,Kristian Kater,SPD,Cloppenburg - Vechta,48.36237,-653.34467,0.027742990623714717,0.05355040030129227,0.014873058794509982,0.0,0.02416382466706397
